rk 	nk	pr(rk)	sk
228	39	0.00015	254.94
229	21	0.00008	254.96
230	17	0.00006	254.97
231	6	0.00002	254.98
232	5	0.00002	254.98
233	5	0.00002	254.99
234	5	0.00002	254.99
235	1	0.00000	255.00
236	0	0.00000	255.00
237	0	0.00000	255.00
238	1	0.00000	255.00
239	0	0.00000	255.00
240	0	0.00000	255.00
241	2	0.00001	255.00
242	0	0.00000	255.00
243	0	0.00000	255.00
244	1	0.00000	255.00
245	1	0.00000	255.00
246	0	0.00000	255.00
247	0	0.00000	255.00
248	0	0.00000	255.00
249	0	0.00000	255.00
250	0	0.00000	255.00
251	0	0.00000	255.00
252	0	0.00000	255.00
253	0	0.00000	255.00
254	0	0.00000	255.00
255	0	0.00000	255.00
